PID,p,Nombre de carpeta digital,Digital File Name (First),Digital File Name (Last),,Level of description,Extent and medium,Title (In Original Language/Script),Original Reference,Dates of Material (Gregorian Calendar),,Related Towns/Cities,NO INCLUIDO EN TABLA DE BIBLIOTECA BRITÁNICA,,"Related Subjects
",,,,,
AHJCI.MFC.006.021,Nallely Taborda Castañeda,EAP1477_MFC_B06_Doc21_MorenovsHerreraAcevedo,EAP1477_MFC_B06_Doc21_MorenovsHerreraAcevedo_IMG_001,EAP1477_MFC_B06_Doc21_MorenovsHerreraAcevedo_IMG_157,157,Documento,79 folios de papel,Santiago Moreno contra Marcos Herrera y Arturo Acevedo por estafa en negociación de madera,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 21",1921,,Istmina|San Juan|Pángal|Docordó|Yalí|Antioquia,"Murcia, Santiago|Herrera, Marcos|Acevedo, Arturo|Ayala, Abrahan|Hurtado, Luis|Perea, Eulogio|Ramos, Edmundo|Díaz, Nepumuceno|Flórez, Manuel|Moreno, Santiago|Perea, Ruperto|Acevedo, Antonio|Díaz, Nepumuceno|Sánchez, Diógenes|Mosquera, Espíriru|Góngora, Luis E",,judicial|policía,"Herrera, sospechoso de estafa y ‘tronquelazos’, se hallaba vigilado por la policía y se le decomisa la suma de 120 pesos que se darán al señor Abraham en el momento que es lleve a la cárcel a Herrera por robo de una madera.",,,,"Descrito por Nallely Taborda Castañeda el 2022-10-26, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.022,Javier Hurtado Ibargüen,EAP1477_MFC_B06_Doc22_Ruizvsvarios,EAP1477_MFC_B06_Doc22_Ruizvsvarios_IMG_001,EAP1477_MFC_B06_Doc22_Ruizvsvarios_IMG_039,39,Documento,20 folios de papel,"Soila V. de Ruiz contra Ricardo Arango, Eladio Pino, Ernesto Salazar, Victorino Benítez, Feliciano Palacios, Jesús María Martínez y Marcos Ocampo, por despojo de minas mediante posesión ","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 22",1925,,Charcolargo|Condoto|Santa Ana|Condoto|Tamaná|Río Iró|Togoromá|San Juan,"Martínez, Jesús María|Arango, Ricardo|de Ruiz, Zoila v de|Arango, Severo|Pino, Eladio|Salazar, Ernesto|Benítez, Victoria|Palacios, Felicioano|Hurtado, Juan Manuel|Rivas, Jose Pilar|Rozo Mosquera, Manuel|Ruiz, Ascensión|Jacoba Mosquera, María|Salazar, Restituto|Alberto",,judicial|policía,"Zoila viuda de Ruiz, una mujer viuda y según los relatos con una edad bastante considerable, demanda a Severo Ocampo, Ricardo Arango (inspector de policía) y a otros por el delito de posesión de una mina (Charco Largo) que, según ella, era de su propiedad. Dice Ruiz en su denuncia que Arango se aprovechó de su poder como inspector de policía para dar posesión de la mentada mina a Ocampo, y que dicho proceso era una orden de la alcaldía municipal de Condoto. Es así que Ruiz denuncia a todas estas personas en búsqueda de que se restituya la mina. Estas personas son citadas una a una y todas dicen que las acusaciones de Ruiz son falsas. El único castigado en ese caso fue Arango, ya que se trataba de una mina que llevaba mucho tiempo en litigio sobre quien era su legítimo dueño, y como Arango, siendo un servidor público de alguna u otra manera medió en el hecho, incurrió en unas faltas graves. Considerando que el día de los hechos él sí estuvo presente y de una u otra forma tomó partido en el asunto. El caso lastimosamente prescribe por vencimiento de términos, pasaron más de cuatro años y nunca se resolvió tal litigio.",,,,"Descrito por Javier Hurtado Ibargüen el 2022-11-01, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.023,Jhon Leison Rivas Rodríguez,EAP1477_MFC_B06_Doc23_Murillo,EAP1477_MFC_B06_Doc23_Murillo_IMG_001,EAP1477_MFC_B06_Doc23_Murillo_IMG_050,50,Documento,25 folios de papel,"María Dominga Murillo y Manuel Victoria Martínez, representante de Julia Murillo Rivas de Martínez, demandan juicio de sucesión de Salvador Murillo","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 23",1922,,Playa del Rosario|Nóvita|San Juan|Istmina|Río Tamaná|Punto El Zancudito|Isla Bergamá|Isla La Conga|Isla Baudosito|Isla Siete Mil|Punto Chiquichoque|San Jerónimo|Sipí|Condoto,"Dominga Murillo, María|Martínez, Manuel Victorio|Murillo Rivas de Martínez, Julia|Murillo Moreno Asprilla, Salvador|Bonilla, Hermenegildo|Garcés, Manuel|Valencia, Pedro A|Garcés, Emiliano|Mosquera, Manuel|Asprilla, María Petrona|Ibargüen, María Eduvigis|Murillo, Zoila|Murillo, Juan Esteban|Terán, Casto|Moreno, Jesús María|Girón, José Saturnino|Moreno, Bibiano|Asprilla, Ambrosio|Calderón, Víctor Manuel|Hurtado v de López, Clotilde|Moreno, Epifanio|López, Cupertino|Moreno, Isabelino|de los Santos Rivas, María|Murillo, Petronila|Murillo, Hermenegildo|Acosta, Cayetano|Arriaga, Rodolfo|Fajardo, Ismael A|Martínez, José|Murillo, Ángel María|Antonio Moreno, Manuel|Moreno, Ricardo|Moreno, Nicomedes|Gil Moreno, José|Trinidad Moreno, María|Martínez, José|Asprilla, Eugenio|Onetti, Francisco|Romelio Girón, Miguel|Mosquera, Tomas|Jaramillo, Virgilio F|Rivas, María Antonia|Girón, David|Terán, Tomás A|Ibargüen, Clementina|Abadía Arango, Sergio|Ramírez, Neftalí|Arce, Enrique|Rojas, Pablo",,judicial,"Este caso trata sobre María Dominga Murillo y Manuel Victorio Martínez, en representación de Julia Murillo Rivas. Los cuales piden juicio sucesorio de Salvador Murillo Moreno (difunto y padre de las mujeres aquí descritas).

Bienes del padre:
-La mitad de una isla situada a la margen derecha bajando al río Tamaná.
-Las acciones que le correspondían al padre en las islas de Siete Mil, La Conga y Baudosito.
-Cobro de unas deudas que le tienen algunas personas: Epifanio Moreno adeudaba $15,00 plata (valor de una escopeta), Manuel Antonio Moreno adeudaba $32,00 plata, Nicomedes Moreno adeudaba $10,00 plata, Isabelino Moreno adeudaba $8,00 plata, Ricardo Moreno adeudaba $15,00 plata, José Gil Moreno adeudaba $25,00 plata, y Cupertino López adeudaba $32,00 plata.
-Un collar de oro con peso de 5 castellanos.
-5 cuentas de oro.
-4 sortijas de oro, 2 de ellas con piedras falsas y pesan más o menos 5 castellanos.
-3 pares de zarcillos de oro con peso de 3 castellanos.
-2 fondos de cobre vaciados.
-2 cucharas y un tenedor de plata.

Por medio del señor Hermenegildo Bonilla, se pide que se promueva la formación de la causa mortuoria testamentaria del extinto Salvador Murillo, ya que el mismo señor Salvador al estar en su sano juicio dejó escrito que es padre natural de sus poderdantes en su memoria testamentaria.

Por su parte, el señor Hermenegildo pide al juez del circuito de Istmina sustituirse como apoderado de las hijas del señor Salvador y nombra para ese cargo a Ismael A. Fajardo, debido a que él, al no residir en Istmina, se le hace difícil trasladarse y llevar a cabo todo el proceso. Hermenegildo por medio de esta persona lleva a cabo algunas peticiones como: la partida de nacimiento de las hijas y el acta de matrimonio de la hija que está casada, pero el juez respondió con negativa, ya que la hija no presenta personalmente su aceptación de ser hija natural del difunto. Así pues, ambas hijas se presentan ante el juez y da su aceptación para poder recibir parte de los bienes que le serían entregados.

Ante esto, el juez resolvió declarar abierta la sucesión testamentada del causante Salvador Murillo. Declarando como herederas de dicha sucesión a las señoras María Dominga Murillo y a Julia Murillo Rivas, sin perjuicio de la porción conyugal que por derecho corresponde a la cónyuge sobreviviente, la señora Zoila Murillo. Procedieron con intervención de peritos que nombraron las partes al ser notificadas y de un tercero en discordia que nombrará el juzgado oportunamente para inventariar y avaluar los bienes de dicha sucesión.",,,,"Descrito por Jhon Leison Rivas Rodríguez el 2022-11-10, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.024,Yurleyda Perea Cuesta,EAP1477_MFC_B06_Doc24_Guzman,EAP1477_MFC_B06_Doc24_Guzman_IMG_001,EAP1477_MFC_B06_Doc24_Guzman_IMG_032,32,Documento,16 folios de papel,Manuel José Guzmán y Pía Guzmán de Ibáñez reclaman indemnización por daños a su propiedad,"Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 24",1925,,Condoto|Istmina|Panamá|Terrreno La Isla,"Guzmán, Manuel José|Ibáñez, Pía Guzmán de|Guerrero, Hernando|Ibáñez, Alberto|B, Juan|Malfitano|Valdés, Federico|Quintana, Antonio|Guzmán, Pompeyo|Caicedo Viuda de Escobar, Liboria|Lozano, Faustino|Castillo, Ignasio|Salazar, Jorge|Góngora, Luis E|Tascón, Robustiano|Moreno, Nazaria|Torre, CAP de la",,judicial|tierras,"Los señores Manuel José Guzmán y Pía Guzmán de Ibáñez establecen demanda sobre obra nueva contra el señor C.A.P. de la Torre, ya que la propiedad de los señores Guzmán se está viendo afectada por una construcción llevada a cabo por el señor de la Torre. Se trata de una escalera y una plataforma para dar acceso a una parte de la casa de Liboria Caicedo viuda de Escobar, causando con tal proceder gran perjudico en la propiedad de los demandantes. ",El documento está roto en algunas partes y se pierden fragmentos del documento. No se ven los números de folio,,,"Descrito por Yurleyda Perea Cuesta el 2022-10-27, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.026,Nallely Taborda Castañeda,EAP1477_MFC_B06_Doc26_AsprillavsGuerrero,EAP1477_MFC_B06_Doc26_AsprillavsGuerrero_IMG_001,EAP1477_MFC_B06_Doc26_AsprillavsGuerrero_IMG_038,38,Documento,19 folios de papel,"Antonio Asprilla contra Hernando Guerrero, presidente de La Lozana, demanda división de la mina La Lozana","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 26",1924,,Condoto|Istmina,"Asprilla, Antonio|Guerrero, Hernando|Castillo, Jaime|Lozano, Agustín|Lozano, Carlos|Lozano, Manuel|Escobar, Domingo|Sarabia, Isaías",,judicial|minas|minería,"Antonio Asprilla impuso una demanda contra Hernando Guerrero, presidente de la mina La Lozana, que limita por el río Condoto en el punto donde desemboca la quebrada Guarapo, yendo los extremos de esta línea hasta donde se divorcian las aguas de cada río. La demanda se originó porque se estaba obligando a pagar a Antonio y algunos otros socios minoritarios las contingencias para laborar la mina, puesto que ésta funcionaba hacía varios años y había producido lo suficiente como para cubrir gastos ordinarios para su explotación. ","Deteriorado. el documento está en mal estado, manchado y roto.",,,"Descrito por Nallely Taborda Castañeda el 2022-10-26, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.027,Javier Hurtado Ibargüen,EAP1477_MFC_B06_Doc27_AsprillavsFlores,EAP1477_MFC_B06_Doc27_AsprillavsFlores_IMG_001,EAP1477_MFC_B06_Doc27_AsprillavsFlores_IMG_105,105,Documento,53 folios de papel,"Antonio Asprilla contra Pantaleón Flórez, posesión de terreno Bajo Opogodó","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 27",1922,,Opogodó|Nóvita|Istmina,"Asprilla, Antonio|Flórez, Pantaleón|Castillo, Jaime|Miller, José F|Rojas, Pablo|Pérez, Lucas Díaz|Sánchez, Rafael|Clementina, Sebastiana|Ruiz, Manuel Rosario|Murillo, Luis María|Asprilla, Manuel|Moreno, Abelino|López, Camilo|Garcés, Manuel",,judicial|mercaderes|comercio|minas|minería|tierras,"El documento nos habla de una disputa entre Pantaleón Flórez y Antonio Asprilla, nuevamente por los terrenos del Bajo Opogodó. Estos personajes ya habían tenido un pleito en los juzgados de Istmina por temas relacionados con los límites y linderos de dos minas llamadas Bajo Opogodó y Tres Quebradas, por allá en 1916. Seis años más tarde, en 1922, se vuelven a encontrar en pleitos jurídicos en los juzgados por los mismos delitos que según Antonio Asprilla corresponden a una perturbación a sus terrenos llevada a cabo por Flórez.
 
Asprilla vuelve a demandar a Flórez por perturbación de sus terrenos. Cabe mencionar que éstos son vecinos de mina, pues la mina de Antonio Bajo Opogodó limita con las Tres Quebradas de Pantaleón Flórez. Lo que busca el primero es aclarar cuáles son los límites de las minas pues se siente afectado por dicha situación. En los juzgados, después de muchas idas y vueltas y solicitudes de papeleos en cuanto a notarías y registros de los predios adquiridos por estos señores, no se logran esclarecer las cuestiones particulares que pide la parte demandante.","
Tiene distintos números de folio",,,"Descrito por Javier Hurtado Ibargüen el 2022-11-03, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.028,Jhon Leison Rivas Rodríguez,EAP1477_MFC_B06_Doc28_IbarguenvsAsprilladeIbarguen,EAP1477_MFC_B06_Doc28_IbarguenvsAsprilladeIbarguen_IMG_001,EAP1477_MFC_B06_Doc28_IbarguenvsAsprilladeIbarguen_IMG_140,140,Documento,70 folios de papel,"María Sinforosa y Anastacia Licenia Ibargüen contra Eladia Asprilla viuda de Ibargüen, reivindicación sobre el terreno El Bacanal","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 28",1924,,Primavera|Istmina,"Ibargüen, María Sinforosa|Ibargüen, Isaías|Lisebia Ibargüen, Anastasia|Sánchez Leudo, Rafael|Asprilla v de Ibargüen, Elodia|Abadía, Arístides|Flórez, Pantaleón|, Magdaleno|Valencia, Félix|Ibargüen, Florentino|Sánchez, Diógenes|Becerra, Teolindo|Lozano, Natalia|Lozano, Prino|Cusco, Juan|Ibargüen, Indecindo",,judicial|tierras,"María Sinforosa y Anastasia Lisebia Ibargüen contra Elodia Asprilla viuda de Ibargüen, demanda ordinaria de reivindicación terreno el Bocanal. Este documento trata acerca de unas reparticiones de bienes de los señores Domitilio e Isaías Ibargüen. Anastasia y Sinforosa Ibargüen eran las hijas de Isaías, e Indecindo el hijo de Domitilio, quien murió también, pero fue casado con la señora Elodia Asprilla y edificó en los terrenos de Primavera una casa donde vivió con su esposa y su hijo. Al morir Indecindo Ibargüen, su esposa continuó poseyendo esa casa como propiedad de su esposo por haberla construido con sus propios recursos, y en terrenos en donde tiene parte su esposo como hijo de Domitilio, siendo su descendiente. Por otro lado, el señor Sánchez demandó a los señores Isaías Ibargüen y Domitilio porque ellos no eran los dueños de la finca y de los terrenos de Primavera o Boca de Tamaná, porque, según él, esas propiedades no pertenecían a ellos sino a una comunidad mayor de 50 personas. Sin embargo, la señora Sinforosa dirigió unas palabras contra el señor Sánchez, diciendo que él es un descabellado, improcedente, porque hizo una demanda reivindicatoria sin tener evidencias de nada y, por lo tanto, le solicita al juez que lo revoque y lo condene por temerario.",El documento está manchado y roto en la parte superior. No se puede leer el número de folio.,,,"Descrito por Jhon Leison Rivas Rodríguez el 2023-02-28, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.029,Yurleyda Perea Cuesta,EAP1477_MFC_B06_Doc29_Diaz,EAP1477_MFC_B06_Doc29_Diaz_IMG_001,EAP1477_MFC_B06_Doc29_Diaz_IMG_029,29,Documento,15 folios de papel,"Lucas Díaz Perea, protocolización de 16 títulos de la mina Orpía","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 29",1923,,San Juan|Istmina|Mina Orpía|Togoromá|San Pablo|Minas Génesis|Mina Chonta|Mina de Aluvión|Quibdó,"Pérez, Lucas Díaz|Díaz, Jorge E|Sierra, Roberto|Ledezma, Ramón|Holguín, Alberto|Sánchez, Rafael|Pinjel, Eladio|Asprilla, Antonio|Sánchez, Diógenes|Hernández, Francisco Javier|Perea, Ruperto|Arango Jaramillo, Ricardo|E, Carlos|Molina|Hormaza, José J|Mosquera, Lisandro|Valdés, Federico",,judicial|tierras|minas|minería,"Antonio Asprilla A. entabla juicio de oposición al título de la mina denunciada por Ricardo Arango Jaramillo en 1923 sobre la quebrada Orpúa, en el corregimiento de Togoromá, distrito de Istmina. Arango Jaramillo ha llamado a esta mina Chonta-Derecho; mientras Asprilla A. dice que los linderos se sobreponen sobre la mina Orpúa N° 4 denunciada por él en 1921, junto con otras 15 minas más en la misma quebrada Orpúa. Asprilla denuncia que las diligencias de posesión en favor de Arango Jaramillo se hicieron de manera deficiente, sin consultar con las autoridades del corregimiento de Togoramá, quienes habrían dado razón de que dichos terrenos ya estaban titulados a favor de él. Asprilla A. además acusa a Arango Jaramillo de ser agente de la Compañía Minera Chocó Pacífico. Asprilla A. presenta como prueba algunos testimonios de testigos que presenciaron su propio acto de posesión de las minas Orpúa en 1921 y la escritura notarial de registro de su propiedad. ",Deteriorado. El documento tiene una mancha en la parte superior que dificulta la lectura.,,,"Descrito por Yurleyda Perea Cuesta el 2022-11-01, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.030,Ernestina Lemos Rentería,EAP1477_MFC_B06_Doc30_AsprillavsGuerrero,EAP1477_MFC_B06_Doc30_AsprillavsGuerrero_IMG_001,EAP1477_MFC_B06_Doc30_AsprillavsGuerrero_IMG_094,94,Documento,47 folios de papel,"Antonio Asprilla contra Hernando Guerrero, residente Sociedad La Lozana, demanda exención de pago de contingencias en mina La Lozana","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 30",1924,,Condoto|Istmina,"Asprilla, Antonio|Guerrero, Hernando|Castillo, Jaime|Lozano, Carlos|Lozano, Eusebio|Salazar, Jorge|Lozano, Jesús|Chamono, Visitación|Lozano, Matías|Salazar, José Antonio|Lozano, Manuela|Ruiz, Eustaquio|Ruiz, Pompilio|Lozano, Manuel Dionisio|Serrano, Pedro Elías|Mosquera, Andrés José|Ruiz Lozano, María Valentina|Higinio Albornoz, Manuel|Lozano, Agustín|Lozano, Carlos|Agualimpia, Angelino|Andrade, Isidora|Socorro Mosquera, Juan|Viveros, Manuel|Lozano Ruiz, Juan Roso|Lozano Ruiz, Eufemia|Lozano, Maximiliano|Aguilar, Juan|María, Luis|Ibargüen|Ibargüen, Secundino|Gamboa M, Juan|Gamboa, María Hortensia|Mosquera, Benecio|Córdoba, Pastor|Mosquera, Pedro Ignacio|Mosquera, Hortensio|Perea S, Macedonio|Enríquez, Alfredo E|Lozano M, Natalio|Lozano, Manuel de Jesús|Lozano, Tomás|Lozano, Angelino|Sánchez M, Manuel Gregorio|Lozano, Bonifacio|Lozano M, Antonio|Copete, Andrea|Bozano, Pascuala|Hustado Viuda de Ibárguen, Concepción|Mosquera, Pastora|Lozano, Eva|Ibargüen, Felisa|Lozano, Petrona|Lozano, Felisa|Andrade v de Lozano, Laurentina|Sánchez, José María|Leudo Viuda de Lozano, Felisa|Ayala, Manuel|Mosquera, José Lino|Lozano, Aurelio|Sánchez, Deogracias|Lozano, Indalecio|Sánchez, Cirilo|Lozano, Eusebio|Lozano, Manuel María|Lozano, Teselino|Lozano, Salomón|Sánchez Leudo, Rafael|Perea, Gorgonio|Salazar, Jorge|Castro, Pedro R|Lozano, Florentina|Chamorro, Visitación|Machado, Julio S|Lemos, Francisco|Salazar, José Antonio|Lozano, Manuel José|Perea, Urbano|Tascal, Francisca|Mosquera, Hilarión|Aguilar, Gestrudis|Lozano, Luciano|Malfitano, Juan B",,judicial|tierras|minas|minería,"El señor Antonio Asprilla demanda al señor Hernando Guerrero, presidente de la sociedad La Lozana, para las que se inhiba a él y a los demás socios de renombrada mina del pago de contingentes para gastos del laboreo de la mina. Afirma Asprilla que como el rendimiento de esos productos en el lapso indicado no satisfizo a la mayoría de los socios, estos determinaron nombrar una comisión compuesta de personas honorables y honradas en las que él confiaba plenamente para que examinaran las cuentas presentadas por el extesorero, el señor Malfitano. Tal comisión, después del examen, dictaminó que el producido de explotación de los terrenos y minas ya nombrados durante aquel tiempo era deficiente por lo menos en 40 libras más de platino, que hasta esa fecha no se sabía si por la presidencia de esa sociedad se habían dado los pasos conducentes para obtener el pago de la dicha cantidad de platino que debía ingresar a los fondos comunes de la sociedad. En todo el caso, el señor Antonio Asprilla siempre decía que no estaban obligados él y sus socios a pagar contingentes para el laboreo y explotación de dicha.","El documento está manchado en algunos pasajes, aunque esto no impide la lectura.",,,"Descrito por Ernestina Lemos Rentería el 2022-10-25, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.031,Nallely Taborda Castañeda,EAP1477_MFC_B06_Doc31_MarinvsAsprilla,EAP1477_MFC_B06_Doc31_MarinvsAsprilla_IMG_001,EAP1477_MFC_B06_Doc31_MarinvsAsprilla_IMG_014,14,Documento,7 folios de papel,"Andrés Marín Castillo, representante de The Platinum and Gold Consesions of Colombia, contra Antonio Asprilla, oposición a la posesión de la mina Bajo Opogodó","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 31",1925,,Opogodó|Istmina|Nóvita|Londres,"Asprilla, Antonio|Marín Castillo, Andrés|Castillo, Samuel|Moreno, Mario|Perea, Román|Herrera, Julio|Vélez, Eduardo",,judicial|tierras|minas|minería,"Andrés Marín Castillo, representante legal de la sociedad minera The Platinum and Gold Concessions of Colombia, se opone a la posesión de la mina denominada Bajo Opogodó, revindicada por el señor Antonio Asprilla, por ser aquella sociedad la poseedora regular de la referida mina. El caso no se contempla. ",Deteriorado en la margen superior. No es posible saber el número de folio.,,,"Descrito por Nallely Taborda Castañeda el 2023-01-25, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.032,Javier Hurtado Ibargüen,EAP1477_MFC_B06_Doc32_BritishvsStanding,EAP1477_MFC_B06_Doc32_BritishvsStanding_IMG_001,EAP1477_MFC_B06_Doc32_BritishvsStanding_IMG_297,297,Documento,149 folios de papel,"The British Platinum and Gold Corporation contra Eduardo H.H. Standing, oposición a la posesión de la mina Opogodó","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 32",1925,,Opogodó|Nóvita|Istmina|Bajo Opogodó|Quebrada Los Negros|Quebrada Soledad|Río Opogodó|Quebrada Santa Bárbara|Inglaterra|Londres|Buenaventura|Cali|Valle del Cauca|San Miguel|Tamaná,"Starding, Eduardo H H|Uribe Holguín, Miguel S|Román A, Perea|Castillo, Jaime|Posso, Manuel|Valores Arboleda, Federico|Gutiérrez, Pedro C|Asprilla, Mario C|Castillo, Jaime|Campo, Clemente|Mafla, Joaquín|Isaac, Rafael|James, Mrs Thomas|Mayolo, José A|Vásquez, Eladia|Guerrero, Ramón|Quintana, Agustín|Bernal, Luis Enrique|Eder, Henry James|Henderson, D D|Mosquera, Manuel José|Moreno, Marlos|Asprilla, Antonio|Fordon Freeman, Russel|Quintana, Marshall Ezequiel|Martínez, Jesús M|Núñez, Lisemaco|Prieto, Elías|García, Gregorio",,judicial|tierras|minas|minería,"El señor Eduardo H. H. Standing, apoderado de Miguel S. Holguín, demanda a la compañía The British Platinum and Gold Corporation por la posesión de una mina llamada Opogodó o Alto Opogodó. La British Platinum compró unos terrenos en Nóvita en los cuales habían situadas varias minas, pero según Standing, hubo una mina que si bien estaba en los terrenos que la compañía de Inglaterra había comprado, no fue registrada ni mucho menos titulada, por lo que se encontraba en situación de abandono. En esta situación, según Standing, la compañía inglesa perdía toda facultad de poseerla y más entendiendo que Holguín la había “descubierto”, arreglado, organizado y habitado, lo cual, según las leyes de ese entonces, lo hacía “dueño” de esta.
 
La demanda es dirigida hacia Antonio Asprilla, pues era este el representante de la compañía británica en ese entonces. Como Asprilla era prefecto de la provincia del San Juan estaba impedido para representar a la compañía pues era un servidor público. Antonio Asprilla cede su poder legal a un abogado que sí tuviera capacidad de llevar el caso. Lo mismo pasa con la parte demandante, pues Standing cede su poder como representante de Holguín a Luis Enrique Bernat para que sea este quien lo lleve.
 
Las partes enfrentadas dan sus argumentos y presentan sus pruebas para defenderse. Por un lado, tenemos a la compañía inglesa que muestras sus escrituras donde se ve claramente que compró las tierras donde quedaban situadas unas minas —inclusive la mina en cuestión—. Este siempre fue el argumento fuerte, además de decir que si bien la mina no se registró inmediatamente junto con las otras, sí se hizo tres años más tarde, pero que al final de cuentas no había debate, todos esos terrenos pertenecían a la compañía.

En el otro lado está la parte que demanda que recalca una y otra vez que la mina estaba abandonada y Holguín actuó en consideración con la ley para tomar posesión de ella legalmente. Además de reiterar en el argumento que, si la mina era de la compañía británica, ¿por qué nunca la registraron y mucho menos pagaron los impuestos correspondientes ante las entidades públicas?

El caso inicia en 1925 y va hasta 1934 en trámites, pero sin una sentencia clara.",Tiene diferentes números de folios.,,,"Descrito por Javier Hurtado Ibargüen el 2022-11-08, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
AHJCI.MFC.006.033,Javier Hurtado Ibargüen,EAP1477_MFC_B06_Doc33_AsprillavsCarrasco,EAP1477_MFC_B06_Doc33_AsprillavsCarrasco_IMG_001,EAP1477_MFC_B06_Doc33_AsprillavsCarrasco_IMG_097,97,Documento,49 folios de papel,"Antonio Asprilla y otros contra Francisco de B. Carrasco, presidente de Sociedad La Lozana, por irregularidades en su régimen interno","Archivo Histórico del Juzgado del Circuito de Istmina, Fondo Minería y Familia, Caja 6, Documento 33",1921,,Condoto|Bogotá|Istmina|Cali,"Asprilla, Antonio|Carrasco, Francisco de B|Trujillo, Juan C|Collazos, Joaquín|Ossa, Valentín|López, Roso|Holguín, Miguel S|Urrutia, José|Miller, Ramón|Lozano, Gumersindo|Marshall, Newton C",,judicial|tierras|minas|minería|comercio|mercaderes,"El caso nos presentaba un pleito interpuesto por la iglesia de Condoto, Antonio Asprilla y otros contra el presidente de la sociedad minera La Lozana, Francisco B. Carrasco. La parte demandante alega que la asociación en cabeza de Carrasco tomó decisiones que perjudican a muchas personas que tienen acciones en dicha mina, puesto que en las juntas de decisiones no se valoraron detalles importantes, como el hecho de que los votos deben valer por el número de acciones que tenga cada persona en la mina. En contraposición, la parte demandada alega que su decisión está respaldada por las leyes de Colombia que regulan la minería en el territorio. El pleito jurídico en este caso escala hasta la corte suprema de justicia en Bogotá, la cual busca a dar solución.",Las primeras páginas están rotas en la parte inferior. Tiene diferentes números de folio,,,"Descrito por Javier Hurtado Ibargüen el 2022-11-08, revisado por Daniel Varela Corredor y Kelly López Roldán el 2024-02-20"
